,Manufacturer,Permit Number,DATE,VIN NUMBER,"VEHICLE IS CAPABLE OF OPERATING WITHOUT A DRIVER
(Yes or No)","DRIVER PRESENT
(Yes or No)","DISENGAGEMENT INITIATED BY
(AV System, Test Driver, Remote Operator, or Passenger)","DISENGAGEMENT
LOCATION
(Interstate, Freeway, Highway, Rural Road, Street, or Parking Facility)",DESCRIPTION OF FACTS CAUSING DISENGAGEMENT
0,aiMotive Inc.,AVT036,2022-12-06,4T1B21HK6KU514747,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
1,aiMotive Inc.,AVT036,2022-12-06,4T1B21HK3KU514477,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode due derbis on the road.  Root cause: precaution. Conditions: Non-inclement weather, dry roads, no other factors involved."
2,aiMotive Inc.,AVT036,2022-12-08,4T1B21HK6KU514747,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode due to inappropriate braking, caused by perception issue.  Root cause: trajectory calculation issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
3,aiMotive Inc.,AVT036,2022-12-08,4T1B21HK6KU514747,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
4,aiMotive Inc.,AVT036,2022-12-08,4T1B21HK3KU514477,No,Yes,"Test driver, AV system",Highway,"Safety Driver disengaged autonomous mode as a precaution for keeping distance from vehicle parked on side. Root cause: precaution. Conditions: Non-inclement weather, dry roads, no other factors involved."
5,aiMotive Inc.,AVT036,2022-12-08,4T1B21HK6KU514747,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode due to issue with the test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved."
6,aiMotive Inc.,AVT036,2022-12-14,4T1B21HK6KU514747,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
7,aiMotive Inc.,AVT036,2022-12-15,4T1B21HK3KU514477,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
8,aiMotive Inc.,AVT036,2022-12-15,4T1B21HK3KU514477,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode due to inappropriate braking, caused by perception issue.  Root cause: trajectory calculation issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
9,aiMotive Inc.,AVT036,2022-12-19,4T1B21HK3KU514477,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
10,aiMotive Inc.,AVT036,2022-12-19,4T1B21HK3KU514477,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode due to issue with the test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved."
11,aiMotive Inc.,AVT036,2022-12-19,4T1B21HK3KU514477,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode due to issue with the test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved."
12,aiMotive Inc.,AVT036,2022-12-20,4T1B21HK3KU514477,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
13,aiMotive Inc.,AVT036,2022-12-20,4T1B21HK3KU514477,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode due to issue with the test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved."
14,aiMotive Inc.,AVT036,2022-12-20,4T1B21HK3KU514477,No,Yes,"Test driver, AV system",Freeway,"Safety Driver disengaged autonomous mode due to issue with the test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved."
