,Manufacturer,year,DESCRIPTION OF FACTS CAUSING DISENGAGEMENT,Label
21218,CP,20,"Perception issue: sensor data (radar, lidar, and camera), or autonomy system's interpretation of sensor data, had a shortcoming or inaccuracy that affected driving behavior",
29818,CP,09,"Software/Hardware problem - a vehicle software or hardware system stopped operating normally; includes issues related to computing/sensing hardware, vehicle actuation hardware, operating system software, and intra-vehicle communication software",
29654,CP,01,"Unwanted maneuver or stop by vehicle - the vehicle's trajectory planner produced a trajectory that was unsatisfactory, or the vehicle's control systems failed to follow a planned trajectory with sufficient accuracy",
29790,CP,09,"Unwanted maneuver or stop by vehicle - the vehicle's trajectory planner produced a trajectory that was unsatisfactory, or the vehicle's control systems failed to follow a planned trajectory with sufficient accuracy",
29774,CP,19,"Unwanted maneuver or stop by vehicle - the vehicle's trajectory planner produced a trajectory that was unsatisfactory, or the vehicle's control systems failed to follow a planned trajectory with sufficient accuracy",
29647,CP,01,"Unwanted maneuver or stop by vehicle - the vehicle's trajectory planner produced a trajectory that was unsatisfactory, or the vehicle's control systems failed to follow a planned trajectory with sufficient accuracy",
29693,CP,19,"Perception discrepancy - a discrepancy arose between how vehicle's perception sensor (radar, lidar, and camera) data perceived the vehicle's environment, and how a human driver perceived the environment",
29631,CP,18,"Perception discrepancy - a discrepancy arose between how vehicle's perception sensor (radar, lidar, and camera) data perceived the vehicle's environment, and how a human driver perceived the environment",
29927,CP,19,"Unwanted maneuver or stop by vehicle - the vehicle's trajectory planner produced a trajectory that was unsatisfactory, or the vehicle's control systems failed to follow a planned trajectory with sufficient accuracy",
29837,CP,19,"Unwanted maneuver or stop by vehicle - the vehicle's trajectory planner produced a trajectory that was unsatisfactory, or the vehicle's control systems failed to follow a planned trajectory with sufficient accuracy",
29741,CP,19,"Perception discrepancy - a discrepancy arose between how vehicle's perception sensor (radar, lidar, and camera) data perceived the vehicle's environment, and how a human driver perceived the environment",
29630,CP,18,"Unwanted maneuver or stop by vehicle - the vehicle's trajectory planner produced a trajectory that was unsatisfactory, or the vehicle's control systems failed to follow a planned trajectory with sufficient accuracy",
29671,CP,19,"Perception discrepancy - a discrepancy arose between how vehicle's perception sensor (radar, lidar, and camera) data perceived the vehicle's environment, and how a human driver perceived the environment",
29920,CP,19,"Software/Hardware problem - a vehicle software or hardware system stopped operating normally; includes issues related to computing/sensing hardware, vehicle actuation hardware, operating system software, and intra-vehicle communication software",
29795,CP,09,"Unwanted maneuver or stop by vehicle - the vehicle's trajectory planner produced a trajectory that was unsatisfactory, or the vehicle's control systems failed to follow a planned trajectory with sufficient accuracy",
29721,CP,02,"Perception discrepancy - a discrepancy arose between how vehicle's perception sensor (radar, lidar, and camera) data perceived the vehicle's environment, and how a human driver perceived the environment",
29729,CP,19,"Unwanted maneuver or stop by vehicle - the vehicle's trajectory planner produced a trajectory that was unsatisfactory, or the vehicle's control systems failed to follow a planned trajectory with sufficient accuracy",
30012,CP,19,"Unwanted maneuver or stop by vehicle - the vehicle's trajectory planner produced a trajectory that was unsatisfactory, or the vehicle's control systems failed to follow a planned trajectory with sufficient accuracy",
21176,CP,19,"Planning issue: the trajectory planned by the autonomy system was flawed, in that it disrupted traffic flow, resulted in unsafe maneuvering, or did not advance vehicle toward destination",
29964,CP,19,"Unwanted maneuver or stop by vehicle - the vehicle's trajectory planner produced a trajectory that was unsatisfactory, or the vehicle's control systems failed to follow a planned trajectory with sufficient accuracy",
17993,CD,20,"Clear weather, good surface conditions. Trajectory message timeout: Took too long to plan trajectory. Driver assumed control in less than 1 second of system alert. 

Clarification:
The autonomous vehicle has a safety mechanism to alert the driver if the trajectory calculations are not completed within a margin of safety and this system notified the driver to be prepared to take over. The driver took over within 1 second and the autonomous feature was disengaged. The root cause was identified and rectified on the 1/14 to be retested successfully on the 15th Jan.",
17994,CD,20,"Clear weather, good surface conditions. Disengagement was the result of a planned test of the autonomous technology. Driver assumed control in less than 1 second.",
17995,CD,20,"Clear weather, good surface conditions. Disengagement was the result of a planned test of the autonomous technology. Driver assumed control in less than 1 second.",
21677,CD,19,"Clear weather, good surface conditions. Disengagment was the result of a planned test of the autonomous technology.  Driver assumed control in less than 1 second.  Trajectory planning error:  Other vehicle was predicted in our trajectory",
21678,CD,19,"Clear weather, good surface conditions. Disengagment was the result of a planned test of the autonomous technology.  Driver assumed control in less than 1 second. Wrong object prediction: Ghost object prediction",
21679,CD,19,"Clear weather, good surface conditions. Disengagment was the result of a planned test of the autonomous technology.  Driver assumed control in less than 1 second.  Trajectory message timeout:  Took too longe to plan trajectory",
21680,CD,19,"Clear weather, good surface conditions. Disengagment was the result of a planned test of the autonomous technology.  Driver assumed control in less than 1 second.  Autobox Error",
21681,CD,19,"Clear weather, good surface conditions. Disengagment was the result of a planned test of the autonomous technology.  Driver assumed control in less than 1 second.  Trajectory message timeout:  Took too longe to plan trajectory",
21682,CD,19,"Clear weather, good surface conditions. Disengagment was the result of a planned test of the autonomous technology.  Driver assumed control in less than 1 second.  Autobox Error",
21683,CD,19,"Clear weather, good surface conditions. Disengagment was the result of a planned test of the autonomous technology.  Driver assumed control in less than 1 second.  Trajectory message timeout:  Took too longe to plan trajectory",
21684,CD,19,"Clear weather, good surface conditions. Disengagment was the result of a planned test of the autonomous technology.  Driver assumed control in less than 1 second.  Autobox Error",
15822,BQ,21,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
15935,BQ,21,"A collision hazard in the environment ahead was detected by the software, which triggered an Estop",
16016,BQ,21,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
15902,BQ,21,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
16001,BQ,21,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
15950,BQ,21,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
15996,BQ,21,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
15856,BQ,21,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
15810,BQ,20,The software detected an inanimate object in the AV's path and triggered an Estop,
15952,BQ,21,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
15850,BQ,21,The software detected an inanimate object in the AV's path and triggered an Estop,
15945,BQ,21,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
15989,BQ,21,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
15961,BQ,21,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
15974,BQ,21,The software detected an inanimate object in the AV's path and triggered an Estop,
15884,BQ,21,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
15866,BQ,21,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
15840,BQ,21,The software detected an inanimate object in the AV's path and triggered an Estop,
15854,BQ,21,The software detected an inanimate object in the AV's path and triggered an Estop,
15830,BQ,21,The software detected an inanimate object in the AV's path and triggered an Estop,
21254,CQ,20,"Stopped on right turn at red light too early before proceeding, planning needs to be modified to account for right turn visibility at intersection",
21249,CQ,20,"Car taking too long to make a lane change, perception judged space insufficient",
21318,CQ,20,Controls disengaged after requested a deceleration beyond limit,
21273,CQ,20,"Car stopped too far from line at intersection, map annotation incorrect",
21283,CQ,20,"Car was going to cross 4-way stop intersection when it was not its turn, perception insufficient",
21222,CQ,20,"Car did not slow down soon enough for detected vehicle, perception saw vehicle in motion when static",
30112,CQ,19,"Disengagement due to planned test to address parking feature, unexpected trajectory during parking",
30049,CQ,19,Disengagement due to interference of autonomous driving path by a parked car.,
21314,CQ,20,Controls disengaged after requested a deceleration beyond limit,
21255,CQ,20,Controls disengaged after requested a deceleration beyond limit,
21303,CQ,20,"Car did not see vehicle to right during 4-way stop, perception issue",
21259,CQ,20,"Detected red traffic light color when green, missclassification in perception",
30084,CQ,19,"Disengagement due to planned test to address parking feature, unexpected trajectory during parking",
30099,CQ,19,"Disengagement due to planned test to address parking feature, unexpected trajectory during parking",
21294,CQ,20,Controls disengaged after requested a deceleration beyond limit,
21240,CQ,20,"Car creeping into crosswalk when stopping for intersection, incorrect map annotation for crosswalk intersection",
21281,CQ,20,"Car stopped, then proceeded to make right turn on red however did not have sufficient view of oncoming traffic",
30060,CQ,19,Disengagement due to issue with autonomous vehicle system hardware.,
21315,CQ,20,Controls disengaged after requested a deceleration beyond limit,
21279,CQ,20,"Car too slow to make left turn at intersection, due to internal system speed contraint",
19458,CK,19,Object Perception: late perception of in-road crosswalk sign,
19459,CK,20,"Planning Logic: following conservative yield, vehicle behind made contact. No reportable damage of property or bodily injury",
19460,CK,20,Planning Logic: planner inadequately yields to lead vehicle coming to a stop,
19461,CK,20,Planning Logic: incorrect behavior prediction for vehicle at roundabout results in a planned trajectory that overlaps with the vehicle,
19462,CK,20,Object Perception: late perception of small box in planner's path,
19463,CK,20,Object Perception: late perception of small box in planner's path,
19464,CK,20,Object Perception: late perception of small box in planner's path,
19465,CK,20,Object Perception: late perception of rock in planner's path,
19466,CK,20,Object Perception: late perception of ripped tire in planner's path,
19467,CK,20,Planning Logic: planner inadequately yields to vehicle turning into our lane,
19468,CK,20,Object Perception: late perception of trash bag in planner's path,
3919,AF,23,System software failure in the perception module while proceeding straight with low traffic on highway in cloudy weather. Disengagement occurred when AV attempted to lane change.,
3948,AF,23,System software failure in the perception module while proceeding straight on an onramp with low traffic on highway in cloudy weather. Hazards activated prior to software disengagement.,
3955,AF,23,System software failure in the perception module while proceeding straight at low speed with medium traffic on highway in clear weather.,
3916,AF,23,System software failure in the planning module while proceeding straight with low traffic on highway in cloudy weather.,
15779,AF,21,"System sofware failure in the planner module at a specific surface street location, with stopped traffic ahead, related to a mapping issue. The weather was clear.",
3926,AF,23,System software failure in the mapping module when detecting an incorrectly mapped traffic light at an intersection in clear weather. ,
3942,AF,23,System software failure in the perception module while proceeding straight with low traffic on highway in cloudy weather.,
3923,AF,23,System software failure in the planning module while entering a cloverleaf ramp on the highway due to a policy disengagement zone in clear weather. ,
3953,AF,23,System software failure in the perception module while proceeding straight with medium traffic on highway in clear weather.,
3939,AF,23,System software failure in the perception module while proceeding straight with low traffic on highway in cloudy weather.,
3943,AF,23,System software failure in the perception module while proceeding straight with low traffic on highway in cloudy weather.,
3928,AF,23,System software failure in the perception module while proceeding straight at low speed with heavy traffic on highway in cloudy weather.,
3924,AF,23,System software failure in the mapping module when detecting an incorrectly mapped traffic light at an intersection in clear weather. ,
3950,AF,23,System software failure in the perception module while proceeding straight with low traffic on highway in clear weather.,
3921,AF,23,System software failure in the mapping module when detecting an incorrectly mapped traffic light at an intersection in clear weather. ,
3958,AF,23,System software failure in the perception module while entering a cloverleaf ramp on the highway in clear weather. ,
3922,AF,23,System software failure in the planning module while entering a cloverleaf ramp on the highway due to a policy disengagement zone in clear weather. ,
15777,AF,21,"System sofware failure in the planner module at a specific surface street location, with no surrounding traffic, related to a mapping issue.  The weather was clear.",
3920,AF,23,A system software failure in the planner module during lane change on surface street approaching an intersection in cloudy weather likely due to the curvature of the mapped lane. ,
3934,AF,23,System software failure in the perception module while proceeding straight with medium traffic on highway in cloudy weather.,
16408,BE,21,"Traffic Light Software Module didn't detect traffic light and AV didn't go for green light. As a result, the driver safely disengaged and resumed manual control.",
16407,BE,21,"The AV wasn't centered in the lane. As a result, the driver safely disengaged and resumed manual control.",
