,Manufacturer,year,preprocessed
0,AA,23,precaution operator intervention intervention started enter intersection temporarily intervention intersection despite initially pausing executed intervention swiftly turning across three lanes traffic
1,AA,23,intervention traffic light pony av supervised rivered autonomous_mode rear ended twice quick succession passenger intervention following incident pony operator disengaged pony av autonomous_mode injuries
2,AA,23,pony av operating supervised autonomous drivered mode collided road debris slightly damaging rear bumper intervention prior incident noticed flat item center part lane disengaged autonomous_mode attempted dodge debris injuries
3,AB,22,lidar calibrated properly test got close front av system uses tracking test applied brakes av system automaticaly disengaged
4,AB,22,areas without lane marking av system perception software detection lane_markings automaticaly disengages sec lane detection lost lane detection lost
5,AB,22,areas without lane marking av system perception software detection lane_markings automaticaly disengages sec lane detection lost lane detection lost
6,AB,22,areas without lane marking av system perception software detection lane_markings automaticaly disengages sec lane detection lost lane detection lost
7,AB,23,overcast heavy traffic miles intervention front test high speed lane continued next lane av system tracks vechicle intervention front test av system accelerated high speed passed next lane car intervention front intervention test applied brakes av system automaticaly disengaged
8,AC,22,close road lane boundary cause object lane detection
9,AC,22,derbis road cause precaution
10,AC,22,improper braking caused perception cause trajectory calculation
11,AC,22,close road lane boundary cause object lane detection
12,AC,22,precaution keeping distance parked side cause precaution
13,AC,22,test could perform lane_change exit lane merge highway could follow plan route cause traffic situation
14,AC,22,close road lane boundary cause object lane detection
15,AC,22,close road lane boundary cause object lane detection
16,AC,22,improper braking caused perception cause trajectory calculation
17,AC,22,close road lane boundary cause object lane detection
18,AC,22,test could perform lane_change exit lane merge highway could follow plan route cause traffic situation
19,AC,22,test could perform lane_change exit lane merge highway could follow plan route cause traffic situation
20,AC,22,close road lane boundary cause object lane detection
21,AC,22,test could perform lane_change exit lane merge highway could follow plan route cause traffic situation
22,AC,22,test could perform lane_change exit lane merge highway could follow plan route cause traffic situation
23,AC,22,close road lane boundary cause object lane detection
24,AC,22,improper braking caused perception cause trajectory calculation
25,AC,22,close road lane boundary cause object lane detection
26,AC,22,close road lane boundary cause object lane detection
27,AC,22,catching insufficient distance keeping cause object detection
28,AC,22,test could perform lane_change exit lane merge highway could follow plan route cause traffic situation
29,AC,23,close road lane boundary cause object lane detection
30,AC,23,catching insufficient distance keeping cause object detection
31,AC,23,test could perform lane_change exit lane merge highway could follow plan route cause traffic situation
32,AC,23,close road lane boundary cause object lane detection
33,AC,23,improper braking caused perception cause trajectory calculation
34,AC,23,close road lane boundary cause object lane detection
35,AC,23,close road lane boundary cause object lane detection
36,AC,23,derbis road cause precaution
37,AC,23,catching insufficient distance keeping cause object detection
38,AC,23,close road lane boundary cause object lane detection
39,AC,23,close road lane boundary cause object lane detection
40,AC,23,test could perform lane_change exit lane merge highway could follow plan route cause traffic situation
41,AC,23,close road lane boundary cause object lane detection
42,AC,23,catching insufficient distance keeping cause object detection
43,AC,23,test could perform lane_change exit lane merge highway could follow plan route cause traffic situation
44,AC,23,close road lane boundary cause object lane detection
45,AC,23,close road lane boundary cause object lane detection
46,AC,23,improper braking caused perception cause trajectory calculation
47,AC,23,catching insufficient distance keeping cause object detection
48,AC,23,close road lane boundary cause object lane detection
49,AC,23,catching insufficient distance keeping cause object detection
50,AC,23,precaution keeping distance parked side cause precaution
51,AC,23,close road lane boundary cause object lane detection
52,AC,23,close road lane boundary cause object lane detection
53,AC,23,catching insufficient distance keeping cause object detection
54,AC,23,sw perform lane_change manuever safely cause lane detection
55,AC,23,close road lane boundary cause object lane detection
56,AC,23,close road lane boundary cause object lane detection
57,AC,23,derbis road cause precaution
58,AC,23,catching insufficient distance keeping cause object detection
59,AC,23,close road lane boundary cause object lane detection
60,AC,23,lane_change insufficient distance keeping cause object detection
61,AC,23,cut insufficient distance keeping cause object detection
62,AC,23,close road lane boundary cause object lane detection
63,AC,23,close road lane boundary cause object lane detection
64,AC,23,close road lane boundary cause object lane detection
65,AC,23,close road lane boundary cause object lane detection
66,AC,23,cut insufficient distance keeping cause object detection
67,AC,23,catching insufficient distance keeping cause object detection
68,AC,23,lane_change insufficient distance keeping cause object detection
69,AC,23,improper braking caused perception cause trajectory calculation
70,AC,23,close road lane boundary cause object lane detection
71,AC,23,sw perform lane_change manuever safely cause lane detection
72,AC,23,close road lane boundary cause object lane detection
73,AC,23,close road lane boundary cause object lane detection
74,AC,23,close road lane boundary cause object lane detection
75,AC,23,close road lane boundary cause object lane detection
76,AC,23,close road lane boundary cause object lane detection
77,AC,23,close road lane boundary cause object lane detection
78,AC,23,close road lane boundary cause object lane detection
79,AC,23,lane_change insufficient distance keeping cause object detection
80,AC,23,lane_change insufficient distance keeping cause object detection
81,AC,23,lane_change insufficient distance keeping cause object detection
82,AC,23,close road lane boundary cause object lane detection
83,AC,23,close road lane boundary cause object lane detection
84,AC,23,close road lane boundary cause object lane detection
85,AC,23,close road lane boundary cause object lane detection
86,AC,23,cut insufficient distance keeping cause object detection
87,AC,23,close road lane boundary cause object lane detection
88,AC,23,close road lane boundary cause object lane detection
89,AC,23,cut insufficient distance keeping cause object detection
